"PI","Entry","Country","Day","TRL","PRL","LRL","MSL","LSLPL","MAX","LED","PER","DIA","VOL","SurfaceArea","TRLUpper","TRLLower","CM","CMT","CMM","CMB","CP","CPT","CPM","CPB","CVA","DEP","WID","NWA","LRB","NLR","IRB","TRArea","TRAUpper","TRALower","RHZO","SOL","SOL2","LRA","ImageFlag","TRL_GR"
"ACHarosprout","1",NA,15,154.422607544004,38.5346383465727,116.629396538897,2.38144978075297,1.23591862930177,9.2851085204693,2.49879866567912,261.841405198154,0.193509351762475,158.177077381915,22.6555232294417,107.143614602627,43.7998878035683,0.248200599650383,0.18174847489651,0.428633923158644,0.843569011618149,0.397588892328215,0.214222977869178,0.474793042970014,0.873726643447627,306.305264293722,34.2652464983389,16.2787026070797,1.86457326253338,126.428855286044,71.9179633887614,61.1315687390136,18.2464186511139,12.7620565936755,5.3343229067938,3210.98314489751,0.00654933846301045,152.223969314609,50.2979564983138,0.999697182605359,18.3862749670394
"PI163110","5","India",15,127.916277349215,36.9271253902106,92.9899031587804,2.27848106145537,1.18060112672118,7.86086189635375,2.47694482135163,241.726347014967,0.19398774897474,158.177077381915,22.4370513719656,89.0262522360326,39.0514603311994,0.226240670723034,0.175881591089944,0.42640455576244,0.845074448417784,0.385474032613559,0.216378058315898,0.474054439367453,0.878833536968908,260.436136378751,33.1834453141266,14.2751160075043,1.56971727271637,120.788962204844,67.0316940472193,55.2118037443174,16.2981112652921,11.180326295601,5.05153651087882,2750.34628084656,0.00658316021091785,150.815812516127,45.201790001007,0.999748946042381,18.8237769211368
"PI164770","7","India",15,170.620435688764,38.9381465739509,132.482123380294,2.47746250759827,1.23569435356965,9.54520770647588,2.60311519461234,268.564673682956,0.187144532499607,158.177077381915,22.5435527115888,122.309408132635,45.3355842371494,0.233167818322653,0.16904710983351,0.42832946348092,0.842520773851771,0.397072818508761,0.21814411949729,0.47509333805241,0.869339014327004,334.794081485532,35.5354735906941,16.3357169496591,2.07384713786,129.858264367887,73.3922677292234,64.0444103267048,19.3239967679639,14.3823184093157,5.18756544522774,3476.13544182083,0.00678001080810553,150.23594625869,50.5912120317842,0.999720805433395,21.5700587884479
"PI183458","10","India",15,169.42010748383,39.33248729255,130.107604810073,2.45225361807681,1.27759813495965,9.65418115474494,2.35770996104977,276.083144121025,0.201904521292221,158.177077381915,23.7236665002446,116.867224633718,48.0219534000486,0.258126643145622,0.181302246398628,0.427012407581658,0.843721880618028,0.404127254303668,0.219761371915123,0.474632680134398,0.873994347918945,330.618770443241,35.5137293985663,16.5471025998426,2.06408579996171,130.192559905144,75.1516297844192,65.105660133936,20.9407203913069,14.9317576058524,5.80600128550307,3508.30255959011,0.00652639932350109,152.249856228084,55.221305180536,0.999726602335546,23.6044927865718
"PI183936","11","India",15,165.840658857499,39.9651264211198,125.262663659357,2.35901470953916,1.25666831103558,9.31338855591354,2.21303328997781,278.620916679754,0.197585810816309,158.177077381915,23.6663177417899,111.07997914737,49.356082690424,0.241262125813964,0.17380248964067,0.428280184987227,0.843037451832146,0.399291531655477,0.217681184528481,0.4746904182857,0.872057259541477,297.767445111624,36.3537061262021,14.8618643248017,2.0312166653936,131.934899214277,75.072643923127,64.4550167669075,19.9349263610732,13.7813405639264,5.79686011922215,3434.11441692364,0.00695648666342463,146.38718693049,51.2404263469523,0.999732538015839,22.8136638624962
"PI201869","13","Iran",15,178.094764027111,39.2145517004038,139.118529163091,2.44874960573893,1.21592260621192,10.0428987140584,2.12427842490242,280.626862651398,0.196089085042928,158.177077381915,23.348749108035,142.979377931026,52.0009352947758,0.280040317039326,0.171958442840425,0.427692067933513,0.84249663781069,0.411221139033343,0.219810740505224,0.475245866868804,0.869893279763341,388.38431978274,35.5456413897764,18.498547520773,2.20042850921752,129.787603828402,76.8053505961206,65.6176124328845,24.1559653182798,16.8388998817715,6.86865773998784,4170.90005659818,0.00678472354067823,147.831776206235,51.1859327599345,0.999666593727665,22.3436731919846
"PI213012","15","India",15,164.24753124159,39.8896412779708,123.928881522601,2.30755108579629,1.27360374357143,8.76639871686051,1.99141271417124,273.019652696843,0.194356683744513,158.177077381915,23.4482396102094,103.485111187827,55.0455715800505,0.251757728918834,0.169892864748445,0.429311998587679,0.843900805821043,0.4080280021961,0.21846913365364,0.474985120888196,0.874172353620882,297.515386280267,36.0793605704179,14.840788623108,2.01398994209492,133.74449174157,79.5408366651771,66.2790511789179,19.3376169358457,12.7449126974001,6.00860253959458,3384.71819843817,0.00705226442702642,144.616771539537,49.1990013473436,0.999738042716463,24.0645527115475
"PI254557","16","Afghanistan",15,154.389458354231,37.5969849065004,118.455596040707,2.52144178448155,1.223040329613,10.0126670106609,2.25147953726482,265.852184962193,0.19430217602988,158.177077381915,22.6653000608794,105.174223455592,46.0415578344374,0.248657938983534,0.172815064926517,0.428571647849382,0.844460314486659,0.399426995026899,0.217766400851415,0.474503085305387,0.87686539874446,296.971416256255,33.9195555227318,16.1123611747344,1.89136806268079,123.936121684838,70.2196081978324,59.4033757645088,18.4774096050643,12.7316441160669,5.47428654010653,3269.86047032653,0.00670707099478691,149.084555023977,47.3071031699769,0.999730648147897,19.8716712758143
"PI264686","17","Philippines",15,225.040237502351,41.1319245685821,183.008569428527,2.51941312739395,1.21725601272067,12.4023973543423,2.59737426449263,300.23756329696,0.211746580588794,158.177077381915,24.0336024057155,136.10557224414,54.4590582340575,0.257950406675537,0.177473815887969,0.427266737957329,0.842518251704346,0.409726223737465,0.221926373207023,0.475011325598504,0.870718289080773,423.146173381259,37.2565741734832,19.9805587782926,2.75742841036446,132.366310171956,78.244004032427,66.7110359851394,24.1888642687295,17.7107146862646,6.62736565642162,4396.57978828248,0.0065607809430516,151.727889810786,50.9199441721841,0.999725250866037,26.6459595375266
"PI271401","18","India",15,199.328960006396,39.7238681727408,159.701050850629,2.40878596951685,1.36080185926804,11.620261582505,2.29183853127269,300.919788269834,0.208902013262401,158.177077381915,24.9924419255021,136.895147369198,54.9307074706713,0.255588399986874,0.177046581295368,0.428514528607101,0.842670305971609,0.413801268346585,0.219586913619741,0.475083852495943,0.869371359363683,359.572306578725,35.8351219441512,18.2027878497678,2.45258373937637,136.177848190749,77.5077210679722,66.8055596308423,23.586255679569,17.1147355681192,6.29856438165534,4032.57708958643,0.00683823865026129,148.407785851311,50.6011903613596,0.999735557282947,24.9005976678489
"PI271403","19","India",15,160.202730577657,38.9544067034235,121.94847229541,2.3855470615145,1.24343914039672,9.6362678091078,2.48729937045038,263.583353323225,0.197274165128474,158.177077381915,23.2237012183854,111.553738110696,44.9081050335486,0.239806814920574,0.178184116508591,0.427637988546887,0.84446090181188,0.396534304792268,0.217652365174414,0.474209217780212,0.876889411379638,310.953871162402,35.2809862132806,15.8596008978502,1.94874619935731,126.49627136488,72.9234875728534,62.8174219973696,20.0079939179051,14.6276778574631,5.49425240338344,3307.30992284157,0.00666914775278965,150.045635549439,48.7346032851044,0.999726487001926,21.7925908399648
"PI346315","22","India",15,181.652542480953,39.8579468261274,141.359216252331,2.61035298686103,1.20948274797185,10.1486054274044,2.22948539805164,283.593480266506,0.195415105568098,158.177077381915,23.3025087944134,122.768991231643,51.3082784377451,0.246137105835203,0.169159858537997,0.427605989999989,0.843005997228093,0.408002405319085,0.219175719527831,0.474834196203869,0.871601153035006,365.723684480755,36.0802639004426,17.8856599953278,2.22284532738095,131.676028020701,73.9766629416037,63.9232650824445,21.0069305784069,15.0473433372454,5.78179737604729,3691.21236668963,0.00647437288070401,153.862022388359,53.7674505997819,0.99973340379337,23.8310886425664
"PI362307","23","Korea",15,132.140978875325,38.0940066827857,95.480465864104,2.25567032447205,1.16152853518232,7.69578143133214,2.04209287586052,271.565293216539,0.190991089777947,158.177077381915,22.5364997643777,116.55088287172,42.7162311199813,0.252666972998499,0.175713646046717,0.427749850958403,0.843779497283268,0.396643529450704,0.215003903133358,0.475217001740091,0.874810147128011,314.118259662535,34.4437893857986,15.9967941236629,1.60984582237912,124.241375737292,70.8282837497667,57.9479747595468,21.507226330841,14.3982554673328,5.25342837009386,3634.07401359699,0.0071743276604425,143.512793808919,51.3955441897826,0.999734402789259,18.3965852438387
"PI362310","25","Korea",15,172.306889825296,38.8377726089911,134.339139520766,2.59915592864553,1.21979531463241,10.1324581799726,2.10257624321057,268.106492188084,0.198092525924358,158.177077381915,23.3067646175703,111.291863415693,53.2348617872199,0.258890486421522,0.170230823085459,0.427972169664254,0.84317048636411,0.411578164944177,0.220211797266491,0.474611133409977,0.871305371394518,327.499271169268,35.1162241244487,16.7790073726461,2.12243183409644,127.555125967864,73.8248248683864,62.1527323917908,20.8445489652769,14.2679045713939,6.15087270960181,3525.98327305398,0.00673385336069735,148.963586744833,50.9965309218369,0.999729470048787,20.7912462112565
"PI362311","26","Korea",15,146.497756636676,38.6023434651401,108.879182548648,2.29774223599044,1.2337109182633,8.788592226316,2.30828442835945,257.666102232257,0.192238913995707,158.177077381915,22.7396254975455,100.148602571567,44.2154895223154,0.240693781243266,0.178953141018112,0.427696452886642,0.844426041036512,0.395894316654765,0.218076031295519,0.474049256237364,0.876687769482111,287.759057048335,35.043358026322,14.8056805401356,1.76615829292168,127.590372086348,72.8883674283655,60.6904152595175,17.548292592143,12.0673427547314,5.3443461149963,3102.04710024912,0.00661510574473213,150.429692444086,52.2750302420147,0.999726682062934,19.276757771363
