"PI","Entry","Country","Day","TRL","PRL","LRL","MSL","LSLPL","MAX","LED","PER","DIA","VOL","SurfaceArea","TRLUpper","TRLLower","CM","CMT","CMM","CMB","CP","CPT","CPM","CPB","CVA","DEP","WID","NWA","LRB","NLR","IRB","TRArea","TRAUpper","TRALower","RHZO","SOL","SOL2","LRA","ImageFlag","SDW","RDW","RSR","TDW","TRL_GR"
"AVMU0201","375","Taiwan",18,265.321858551884,44.0294981764762,221.861635969134,3.23196086626348,1.49349391128639,14.6012656115453,1.99803540100817,401.765618793371,0.257175737454745,302.294057487614,35.747298454117,176.042323293871,90.100253383674,0.288344975680947,0.171980815426302,0.460418956220749,0.7523651337556,0.47387945728716,0.216846713069236,0.493864816082486,0.788360694877462,459.646586661619,38.8067225249912,20.4419830378773,3.26380390527289,142.442852970645,101.469973581955,91.2808595616173,36.1625720751257,24.4060155206042,11.042347368512,5329.76953349599,0.00737565170291098,139.210212307879,52.5674603984476,0.999738752947482,0.0652703329985231,0.036508694092613,0.532752616119236,0.105331117540129,26.8069579490395
"CommChk1","2","",18,213.302783449083,44.1594257949592,175.207615230773,2.92339332143871,1.2875431701125,11.5632290277735,2.1217807807524,371.039639844743,0.240733843090105,228.49127310754,28.3662535839234,145.353683741594,69.2271146738946,0.288433472966138,0.170323059948607,0.449892565042051,0.753255588672266,0.430342858261723,0.219771540670406,0.492480438119236,0.79436765228793,355.76027425082,38.9465404822768,15.9925883141638,2.61776704960577,141.915924838461,93.5128696715109,87.931895376552,27.1127268974771,18.5100572509608,8.41508434500365,4250.58284844293,0.00732175968582855,135.269829524104,49.6206553396058,0.999738752947482,0.0545593687767674,0.026641926545059,0.491823730999805,0.0815389025171407,25.3501709609124
"CommChk2","3","",18,259.321973829777,43.6696658483419,218.4201593776,3.50207008335126,1.43147703336427,14.2847891655363,1.98462454075779,381.581188736715,0.244304236033342,267.532831614713,31.7091330117679,170.118142609359,88.1378724010927,0.290727731657141,0.163191365338621,0.463846835581575,0.752306734641994,0.471107973987547,0.217266027066998,0.486916397313901,0.788016999410948,450.035374127307,38.3060594705485,19.6686764600262,3.153664893557,139.680552858479,98.1384964728793,85.0704651662418,33.9578824061685,22.8624019872894,10.5656039502472,5256.40157379341,0.00725635431625343,141.466376149806,50.7026876380658,0.999738752947482,0.0828073254982335,0.0373622052051818,0.500863601123403,0.124444582947267,25.969493516544
"P1368276","137",NA,18,229.167023645842,42.2114210446968,188.548157581268,2.81200374572626,1.55900865377761,12.9597186999486,1.83714451835034,396.377728348483,0.240705396631997,243.550658931311,29.8247666701393,145.16111422302,81.3557986716821,0.282163931279813,0.164417908277813,0.448185551160945,0.752328040746327,0.463459862354429,0.215436564600234,0.489589390361521,0.785140851871976,397.216910950382,36.2206931716186,19.3983089314867,2.80898143722562,135.457361045586,97.5246739298322,84.0283819105595,28.7095925006385,18.6854951548554,9.51574175127868,4769.73995265263,0.00727842071212375,141.257210264547,52.0520842353316,0.999738752947482,0.051297548930612,0.0253439033685892,0.497015485660961,0.0764567782965482,25.9359752495012
"PI163110","5","India",18,230.800975000939,42.9560653703675,189.144966319091,3.08051132264638,1.41682921294942,13.209053024408,2.41528115326696,375.475327472178,0.251489590471827,271.578534846498,32.7209556797491,158.337892623966,72.1272249026258,0.276660395673437,0.171161933075949,0.447847793107476,0.752694305655406,0.462924106613453,0.218920370049581,0.489334022786752,0.789993117650782,438.327228948993,37.9070843625285,20.6864430264498,2.85675112513795,139.29326329181,96.6131791798474,81.7215544652263,31.3069539207944,21.6235935813863,9.24101247438421,4675.13316585926,0.00712984653434015,145.55869985258,49.5502212481782,0.999738752947482,0.0452613288014147,0.0249520380347086,0.516632076017818,0.0696183469472957,25.8391592181043
"PI164726","6","India",18,214.956618609459,42.4712460020509,176.990247215274,2.92466315175491,1.36789482383617,11.6737686326444,1.97994819229378,354.965978879118,0.241732061153352,252.666981544032,31.6645693335794,147.067940405376,72.5037774202527,0.277699129926789,0.169664886052491,0.42836093375952,0.752203352371313,0.471953447571185,0.214438931744873,0.492758051339184,0.786035939821791,375.253732940781,37.692410995707,16.6544691054918,2.70398990439316,137.790176816558,97.9446698285697,80.5185703462326,28.6185458275562,19.6582768314007,8.86214681295806,4398.17930506073,0.00724793646794902,136.027679232287,50.4372339071408,0.999738752947482,0.0569554047744249,0.0240233412850728,0.466467669705149,0.0808805964131297,25.9650252743475
"PI164770","7","India",18,243.713439214115,42.9410001159368,202.140847676199,3.45960095485844,1.40585887381253,13.8551256247612,2.15948040293926,383.954673165466,0.243934683984299,256.027839501543,31.3943262864669,166.46028725574,78.019026561812,0.29369410274171,0.163771910973742,0.454478330959345,0.752509975312942,0.481233813993647,0.216367193177424,0.491806731214741,0.789841732599769,462.120101352068,38.1080174786108,21.9655799995178,2.98722732246028,138.428959343404,97.3212002130836,82.813989849166,31.8371358271353,21.8616560050934,9.58843569258994,5000.10246044396,0.00715645253735793,144.482956086453,50.9593336695882,0.999738752947482,0.0654565548066017,0.0304123610569886,0.501235853553311,0.0980046977618911,25.3819547624058
"PI167295","8","Turkey",18,226.582572344394,42.1345907775163,185.553904461996,3.14568675965755,1.38784384220817,12.6914762040952,2.27216377706212,343.075563461995,0.24494677546529,252.771811621086,32.0849953026006,156.126868852684,72.6236309907016,0.278377610630033,0.174434774014012,0.433319051131642,0.752564704292414,0.456590122863487,0.220775943927053,0.488717234963021,0.793386663312754,395.021078131295,38.0313296304903,18.0016572801348,2.8312268082709,139.953204601143,98.0840546547474,81.354116979346,31.9813251960103,21.8223944503388,9.57794812944372,4630.93301638021,0.00732730338926706,139.499338569476,51.6065351776004,0.999738752947482,0.0515065880778754,0.0263167055823609,0.513876447825256,0.0779616338517511,24.8825966559016
"PI179703","9","India",18,235.836812138494,42.1753543941619,194.561418544317,3.16728674174244,1.43510492791314,13.5368710776366,2.37293853108112,385.437993468786,0.255928133917589,291.355869816143,35.3846820184613,165.005685949196,70.0241074740339,0.248403790669761,0.153553247709806,0.434611500677247,0.752751364715477,0.479788010722681,0.207130533019001,0.490896099667714,0.79369216520792,499.139687467443,36.6360850489289,24.8309522109081,2.90122057842822,127.546113420989,97.2296903848359,78.3351479700827,33.8033264157716,23.7694494957933,9.42422068460774,4722.31729205313,0.00675972709453695,152.67728651546,48.1030271460429,0.999738752947482,0.0541641607433666,0.0300948698268611,0.535753724535804,0.084805947942466,26.1852266398637
"PI183458","10","India",18,267.302250112547,44.9397136217908,222.449753544583,3.23902897314341,1.48719382489989,13.8195814372053,2.02058322869834,400.835828904646,0.272207168029867,345.714628103385,39.6336546303636,179.336124851216,87.6586144364812,0.293199791838977,0.167770273613831,0.438525594556045,0.752700137594004,0.485611733980788,0.215707499106283,0.492298799667005,0.788728727995398,511.142409795308,39.495807175339,22.5152377301978,3.28637847800423,142.842608790637,102.825262834998,89.676406223492,39.2003759263029,26.3904676832426,11.9766029392346,5335.16935073126,0.00711065663531288,145.476409151386,49.4676381310383,0.999738752947482,0.057678417063519,0.0331278194714652,0.539264256564647,0.0913730719877328,27.1730965458553
