"Trait","Mean","Median","Min","Max","SD","CV","H2.cullis"
"TRL",236.58,233.83,180.32,309.92,24.01,0.1,0.32
"PRL",43.19,43.16,39.73,47.51,1.08,0.02,0.23
"LRL",194.54,191.4,144.27,261.62,22.33,0.11,0.32
"MSL",3.08,3,2.19,4.44,0.44,0.14,0.37
"LSLPL",1.45,1.44,1.18,1.69,0.09,0.06,0.29
"MAX",13.14,12.93,9.6,17.62,1.53,0.12,0.37
"LED",2.05,2.03,1.6,2.82,0.21,0.1,0.36
"PER",375.6,375.21,314.85,463.46,21.67,0.06,0.25
"DIA",0.25,0.25,0.23,0.27,0.01,0.03,0.15
"VOL",263.94,259.6,220.43,345.71,18.92,0.07,0.17
"SurfaceArea",32.21,31.99,26.97,40.36,1.98,0.06,0.24
"TRLUpper",157.59,156.23,118.21,211.96,17.67,0.11,0.34
"TRLLower",78.77,77.48,60.51,110.01,8.35,0.11,0.29
"CM",0.29,0.28,0.24,0.32,0.01,0.05,0.27
"CMT",0.17,0.17,0.15,0.19,0.01,0.04,0.14
"CMM",0.45,0.45,0.42,0.5,0.01,0.03,0.31
"CMB",0.75,0.75,0.75,0.75,0,0,0.01
"CP",0.47,0.47,0.42,0.51,0.01,0.03,0.27
"CPT",0.22,0.22,0.21,0.22,0,0.01,0.11
"CPM",0.49,0.49,0.48,0.5,0,0.01,0.18
"CPB",0.79,0.79,0.78,0.8,0,0,0.12
"CVA",426.28,423.55,302.92,591.88,52.66,0.12,0.37
"DEP",38.01,38.03,34.99,40.46,0.92,0.02,0.27
"WID",19.23,19.27,13.17,25.28,2.4,0.13,0.44
"NWA",2.91,2.88,2.26,3.74,0.27,0.09,0.29
"LRB",138.79,138.81,124.78,153.46,4.51,0.03,0.19
"NLR",98.32,98.22,91.34,104.7,2.34,0.02,0.09
"IRB",84.4,84.26,71.06,96.28,4.68,0.06,0.24
"TRArea",31.57,31.2,24.1,41.26,3.43,0.11,0.3
"TRAUpper",21.29,21.06,15.92,28.89,2.4,0.11,0.3
"TRALower",9.81,9.67,7.56,13.43,1,0.1,0.26
"RHZO",4820.55,4792.26,3607.64,6238.42,477.02,0.1,0.33
"SOL",0.01,0.01,0.01,0.01,0,0.02,0.11
"SOL2",142.4,142.2,125.49,152.68,3.66,0.03,0.15
"LRA",50.74,50.74,47.82,53.67,0.96,0.02,0.11
"ImageFlag",1,1,1,1,0,0,NA
"SDW",0.05,0.05,0.03,0.09,0.01,0.23,0.63
"RDW",0.03,0.03,0.02,0.05,0.01,0.21,0.55
"RSR",0.51,0.51,0.44,0.58,0.02,0.05,0.27
"TDW",0.08,0.08,0.04,0.14,0.02,0.24,0.65
"TRL_GR",25.66,25.49,23.75,29.43,0.98,0.04,0.11
