"Topsoil foraging","Country","Steep, Deep, Cheap","Country"
"PI377236","India","PI363604","India"
"PI363380","India","PI425481","Philippines"
"PI426149","India","PI425823","Philippines"
"PI425509","India","PI362327","Korea"
"PI377233","India","PI425535","United Kingdom"
"PI377262","India","PI425456",""
"PI376951","India","PI363699","India"
"PI363635","India","PI377308","India"
"PI425610","Afghanistan","PI377312","India"
"PI425385","India","PI363391","India"
"PI363271","India","PI377288","India"
