"PI","Country","ScavengerRanked","DTRanked"
"ACHarosprout",NA,132,168
"PI163110","India",213,143
"PI164770","India",47,83
"PI183458","India",34,69
"PI183936","India",83,73
"PI201869","Iran",13,100
"PI213012","India",98,37
"PI254557","Afghanistan",121,138
"PI264686","Philippines",2,14
"PI271401","India",11,40
"PI271403","India",67,43
"PI346315","India",15,34
"PI362307","Korea",115,232
"PI362310","Korea",68,145
"PI362311","Korea",178,203
"PI362316","Korea",6,22
"PI362326","Korea",61,146
"PI362327","Korea",80,43
"PI363147","",160,208
"PI363152","",151,194
"PI363204","",70,135
"PI363222","India",134,32
"PI363231","India",162,118
"PI363271","India",235,235
"PI363272","",31,11
"PI363301","India",50,50
"PI363302","Russia",206,212
"PI363315","India",136,150
"PI363324","India",9,132
"PI363326","India",172,174
"PI363332","India",210,209
"PI363333","India",44,152
"PI363341","India",113,77
"PI363346","India",144,95
"PI363354","India",152,92
"PI363359","India",126,130
"PI363360","India",66,28
"PI363362","India",3,77
"PI363374","India",172,148
"PI363380","India",226,233
"PI363391","India",215,230
"PI363407","India",111,133
"PI363459","India",203,228
"PI363474","India",90,166
"PI363475","India",180,88
"PI363484","India",203,234
"PI363485","India",109,113
"PI363493","India",159,88
"PI363494","India",150,71
"PI363506","India",108,52
"PI363514","India",44,21
"PI363516","India",191,151
"PI363523","India",36,17
"PI363565","India",51,46
"PI363566","India",208,207
"PI363585","India",168,153
"PI363591","India",134,116
"PI363592","India",65,98
"PI363596","India",105,58
"PI363604","India",193,173
"PI363605","India",195,204
"PI363615","India",102,186
"PI363635","India",233,214
"PI363645","India",86,164
"PI363647","India",73,149
"PI363657","India",105,109
"PI363668","India",214,196
"PI363678","India",217,205
"PI363696","India",92,169
"PI363699","India",26,53
"PI363778","India",29,8
"PI363781","India",17,9
"PI363782","India",82,31
"PI363820","India",185,229
"PI363823","India",141,165
"PI363825","India",207,162
"PI363909","India",120,155
"PI363988","India",145,183
"PI363989","India",209,56
"PI364007",NA,62,55
"PI364015","India",107,162
"PI364016","India",101,16
"PI364028","India",114,92
"PI364047","India",131,171
"PI364049","India",20,18
