"PI","Country","TRLUpper","WID","TRL_GR","SUM","ScavengerRanked"
"PI425045","Philippines",1,5,4,10,1
"PI264686","Philippines",9,2,3,14,2
"PI363362","India",3,3,9,15,3
"PI425552","Korea",2,8,8,18,4
"PI425240","Philippines",7,15,5,27,5
"PI362316","Korea",4,14,10,28,6
"PI425544","Korea",32,4,2,38,7
"PI363324","India",18,9,12,39,9
"PI425814","Korea",13,7,19,39,9
"PI271401","India",8,18,14,40,11
"PI426026","Thailand",11,28,1,40,11
"PI425551","Korea",10,35,6,51,12
"PI201869","Iran",5,12,42,59,13
"PI425515","Philippines",19,36,16,71,14
"PI346315","India",28,24,21,73,15
"PI425418","India",16,55,7,78,16
"PI363781","India",36,21,28,85,17
"PI425573","Korea",33,1,52,86,18
"PI376856","Thailand",34,40,13,87,19
"PI364049","India",24,27,38,89,20
"PI425537","United Kingdom",14,47,31,92,22
"PI425634","Afghanistan",12,65,15,92,22
"PI425557","Korea",6,6,81,93,23
"PI377022","United States",17,11,68,96,24
"PI376923","Philippines",37,48,17,102,25
"PI363699","India",29,16,61,106,26
"PI425646","Afghanistan",26,29,56,111,27
"PI425271","Pakistan",23,25,64,112,28
"PI363778","India",25,34,57,116,29
"PI425269","Philippines",42,20,58,120,30
"PI363272","",40,50,34,124,31
"PI425822","Philippines",51,49,33,133,33
"PI425859","United States",74,10,49,133,33
"PI183458","India",56,66,22,144,34
"PI363523","India",59,22,67,148,36
"PI368302","India",41,19,88,148,36
"PI377081","Afghanistan",79,32,39,150,37
"PI425527","United Kingdom",54,13,87,154,38
"PI425167","Australia",66,30,70,166,40
"PI426029","Philippines",55,37,74,166,40
"PI425725","Afghanistan",85,59,25,169,41
"PI377287","India",21,121,29,171,42
"PI363333","India",52,69,53,174,44
"PI363514","India",61,62,51,174,44
"PI426038","Australia",77,63,35,175,46
"PI426039","Australia",110,39,26,175,46
"PI164770","India",31,73,72,176,47
"PI364213","India",47,38,96,181,48
"PI425138","India",20,23,140,183,49
"PI363301","India",27,71,86,184,50
"PI363565","India",49,92,45,186,51
"PI425330","India",35,135,24,194,52
"PI425518","United Kingdom",50,100,50,200,53
