"PI","Country","LRADescending","PRL","SOL2","TRL_GR","SUM","DTRanked"
"PI425544","Korea",2,32,78,2,114,1
"PI377081","Afghanistan",66,31,1,39,137,2
"PI426039","Australia",19,79,23,26,147,3
"PI426026","Thailand",22,27,108,1,158,4
"PI376856","Thailand",4,43,113,13,173,5
"PI425423","India",126,30,4,20,180,7
"PI425552","Korea",70,55,47,8,180,7
"PI363778","India",100,16,16,57,189,8
"PI363781","India",105,62,12,28,207,9
"PI425551","Korea",21,49,142,6,218,10
"PI363272","",84,99,3,34,220,11
"PI425513","Philippines",110,11,19,85,225,12
"PI377232","India",45,35,58,92,230,13
"PI264686","Philippines",161,3,70,3,237,14
"PI425814","Korea",153,68,11,19,251,15
"PI364016","India",13,24,96,124,257,16
"PI363523","India",74,17,105,67,263,17
"PI364049","India",141,46,44,38,269,18
"PI425803","Korea",99,52,2,122,275,19
"PI425507","India",44,10,147,76,277,20
"PI363514","India",135,48,48,51,282,21
"PI362316","Korea",201,12,65,10,288,22
"PI377283","India",73,97,29,93,292,23
"PI425261","Philippines",38,182,32,43,295,24
"PI425859","United States",52,175,21,49,297,25
"PI425045","Philippines",149,1,145,4,299,26
"PI363360","India",95,41,74,91,301,28
"PI377249","India",17,34,42,208,301,28
"PI425811","Korea",69,96,15,123,303,29
"PI364123","India",65,75,66,100,306,30
"PI363782","India",18,131,51,107,307,31
"PI363222","India",198,7,45,60,310,32
"PI346315","India",226,29,35,21,311,34
"PI425573","Korea",158,84,17,52,311,34
"PI425169","Australia",128,18,128,40,314,35
"PI425822","Philippines",179.5,47,56,33,315.5,36
"PI213012","India",80,26,195,18,319,37
"PI425515","Philippines",194,50,63,16,323,38
"PI376849","Thailand",187,5,95,37,324,39
"PI271401","India",144,37,130,14,325,40
"PI271403","India",63,115,97,59,334,43
"PI362327","Korea",68,92,127,47,334,43
"PI377287","India",58,20,227,29,334,43
"PI425725","Afghanistan",151,80,79,25,335,44
"PI364119","India",81,169,43,44,337,45
"PI363565","India",67,86,144,45,342,46
"PI377022","United States",14,184,77,68,343,47
"PI363301","India",40,58,166,86,350,50
"PI377250","India",20,14,168,148,350,50
"PI377267","India",166,9,121,54,350,50
"PI425413","India",71,107,62,115,355,51
"PI363506","India",27,71,163,95,356,52
"PI363699","India",184,59,53,61,357,53
"PI376923","Philippines",93,114,134,17,358,54
"PI364007",NA,234,45,7,79,365,55
"PI363989","India",9,15,188,154,366,56
"PI425330","India",140,22,186,24,372,57
"PI363596","India",72,140,28,133,373,58
"PI426038","Australia",148,109,86,35,378,59
"PI377299","India",53,70,115,144,382,60
"PI425201","Australia",51,120,39,174,384,62
"PI425240","Philippines",154,25,200,5,384,62
"PI377296","India",10,87,150,141,388,64
"PI425518","United Kingdom",116,4,218,50,388,64
"PI377147","Iran",232,91,25,41,389,65
"PI425840","Pakistan",102,76,176,36,390,66
"PI425537","United Kingdom",183,57,120,31,391,67
"PI183458","India",235,78,59,22,394,69
"PI426029","Philippines",137,119,64,74,394,69
"PI363494","India",120,67,49,159,395,71
"PI425520","United Kingdom",24,194,41,136,395,71
"PI425483","India",28,127,46,195,396,72
"PI183936","India",175,23,171,32,401,73
"PI424964","Thailand",39,89,201,73,402,74
"PI377286","India",15,83,187,119,404,75
"PI363341","India",34,205,52,114,405,77
"PI363362","India",233,61,102,9,405,77
"PI425271","Pakistan",203,126,14,64,407,78
"PI425269","Philippines",205,39,106,58,408,80
"PI425508","India",209,6,55,138,408,80
"PI425823","Philippines",170,13,71,156,410,81
"PI377242","India",79,63,206,66,414,82
"PI164770","India",142,117,94,72,425,83
"PI368332","India",163,36,165,62,426,85
"PI425418","India",229,8,182,7,426,85
"PI377217","India",87,122,156,63,428,86
"PI363475","India",16,198,30,185,429,88
"PI363493","India",85,141,9,194,429,88
"PI425388","India",150,42,161,77,430,89
"PI425264","Philippines",117,138,83,94,432,90
"PI363354","India",64,33,174,170,441,92
"PI364028","India",108,77,125,131,441,92
"PI425421","India",122,38,158,125,443,93
"PI377281","India",210,53,18,163,444,94
"PI363346","India",90.5,151,114,90,445.5,95
"PI363592","India",56,147,213,30,446,98
"PI364213","India",30,216,104,96,446,98
"PI425842","Pakistan",106,65,132,143,446,98
"PI201869","Iran",172,88,146,42,448,100
"PI377208","India",98,124,151,75,448,100
"PI368329","India",11,116,194,130,451,101
"PI377298","India",113.5,98,76,167,454.5,102
"PI425528","United Kingdom",82,203,5,165,455,103
"PI425580","Korea",77,162,112,105,456,104
"PI425634","Afghanistan",220,21,205,15,461,105
"PI425592","Philippines",78,85,172,129,464,106
"PI426098","India",83,51,181,150,465,107
"PI363657","India",225,54,27,160,466,109
"PI425540","United Kingdom",211,118,54,83,466,109
"PI425586","Korea",26,170,61,210,467,110
"PI364225","India",169,179,8,112,468,111
"PI364070","India",92,154,129,97,472,112
"PI363485","India",219,121,24,109,473,113
"PI425167","Australia",230,161,13,70,474,115
"PI425841","Pakistan",33,186,135,120,474,115
"PI363591","India",123.5,152,89,111,475.5,116
"PI368305","India",206,56,136,78,476,117
"PI363231","India",42,148,235,55,480,118
"PI377263","India",50,93,185,153,481,119
"PI368285","India",178,74,141,89,482,120
"PI425766","India",29,227,68,162,486,121
"PI368266","India",136,113,131,110,490,123
"PI368275","India",193,125,107,65,490,123
"PI377202","India",221,28,220,23,492,125
"PI425259","India",119,2,224,147,492,125
"PI377235","India",186,100,109,98,493,128
"PI425503","India",62,171,31,229,493,128
"PI425527","United Kingdom",109,217,80,87,493,128
"PI363359","India",59,187,73,176,495,130
"PI368302","India",228,153,26,88,495,130
"PI425591","Philippines",112,196,90,99,497,131
"PI363324","India",216,167,103,12,498,132
"PI363407","India",129,134,81,157,501,133
"PI363204","",227,19,123,134,503,135
"PI364214","India",215,69,87,132,503,135
"PI425557","Korea",223,133,67,81,504,136
"PI368330","India",191,105,40,169,505,137
"PI254557","Afghanistan",23,209,119,155,506,138
"PI425512","Philippines",174,94,126,113,507,139
"PI425136","India",123.5,60,139,187,509.5,140
"PI364218","India",118,101,152,142,513,141
"PI377248","India",54,191,36,234,515,142
"PI163110","India",5,228,85,198,516,143
"PI425852","India",37,129,154,197,517,144
"PI362310","Korea",164,123,124,108,519,145
"PI362326","Korea",202,130,10,178,520,146
"PI425548","Korea",32,146,217,126,521,147
"PI363374","India",46,128,198,151,523,148
"PI363647","India",61,212,225,27,525,149
"PI363315","India",159,81,138,149,527,150
"PI363516","India",90.5,108,184,146,528.5,151
"PI363333","India",173,144,159,53,529,152
"PI363585","India",25,201,98,211,535,153
"PI363909","India",31,230,230,48,539,155
"PI425456","",192,110,133,104,539,155
"PI377203","India",6,135,173,226,540,157
"PI425138","India",189,177,34,140,540,157
"PI377306","India",57,112,191,181,541,159
"PI425487","India",35,164,122,220,541,159
"PI377259","India",48,183,193,118,542,160
"PI363825","India",75,229,57,182,543,162
"PI364015","India",86,174,167,116,543,162
"PI363645","India",217,73,177,80,547,164
"PI425254","India",60,143,216,128,547,164
"PI363823","India",96,185,197,71,549,165
"PI363474","India",185,165,84,117,551,166
"ACHarosprout",NA,131,157,60,205,553,168
