"Trait","Mean...2","Median...3","Min...4","Max...5","SD...6","CV...7","H2.cullis...8","Mean...9","Median...10","Min...11","Max...12","SD...13","CV...14","H2.cullis...15","Mean...16","Median...17","Min...18","Max...19","SD...20","CV...21","H2.cullis...22"
"TRL","99.96","98.77","78.89","137.38","10.34","0.1","0.23","159.59","157.91","102.87","225.04","23.06","0.14","0.37","236.58","233.83","180.32","309.92","24.01","0.1","0.32"
"PRL","34.63","34.66","31.65","36.55","0.73","0.02","0.13","38.85","38.94","35.88","41.56","0.97","0.02","0.2","43.19","43.16","39.73","47.51","1.08","0.02","0.23"
"LRL","67.79","66.47","48.1","104.35","9.84","0.15","0.25","121.36","119","71.25","184.04","21.5","0.18","0.37","194.54","191.4","144.27","261.62","22.33","0.11","0.32"
"MSL","2.16","2.06","1.2","3.93","0.56","0.26","0.41","2.41","2.39","1.93","3.14","0.19","0.08","0.18","3.08","3","2.19","4.44","0.44","0.14","0.37"
"LSLPL","0.83","0.83","0.82","0.85","0","0","0.02","1.23","1.23","1.11","1.38","0.05","0.04","0.14","1.45","1.44","1.18","1.69","0.09","0.06","0.29"
"MAX","6.08","6.04","4.8","7.75","0.53","0.09","0.18","9.34","9.25","6.08","12.94","1.24","0.13","0.34","13.14","12.93","9.6","17.62","1.53","0.12","0.37"
"LED","2.29","2.28","1.59","3.13","0.26","0.11","0.29","2.22","2.21","1.72","2.77","0.18","0.08","0.25","2.05","2.03","1.6","2.82","0.21","0.1","0.36"
"PER","180.18","180.14","166.1","195.98","5.02","0.03","0.08","265.3","265.19","216.97","305.57","16.2","0.06","0.2","375.6","375.21","314.85","463.46","21.67","0.06","0.25"
"DIA","0.19","0.19","0.19","0.19","0","0",NA,"0.2","0.2","0.18","0.22","0.01","0.03","0.14","0.25","0.25","0.23","0.27","0.01","0.03","0.15"
"VOL","126.28","126.14","124.63","129.78","0.81","0.01","0.01","158.18","158.18","158.18","158.18","0","0",NA,"263.94","259.6","220.43","345.71","18.92","0.07","0.17"
"SurfaceArea","19.75","19.74","19.07","20.54","0.23","0.01","0.04","23.17","23.16","20.65","25.29","0.71","0.03","0.11","32.21","31.99","26.97","40.36","1.98","0.06","0.24"
"TRLUpper","68.64","67.99","48.15","94.51","8.61","0.13","0.25","106.73","105.79","65.72","160.29","15.73","0.15","0.36","157.59","156.23","118.21","211.96","17.67","0.11","0.34"
"TRLLower","26.87","26.87","26.87","26.87","0","0",NA,"47.41","46.58","37.66","64.31","4.77","0.1","0.26","78.77","77.48","60.51","110.01","8.35","0.11","0.29"
"CM","0.2","0.2","0.2","0.2","0","0",NA,"0.25","0.25","0.21","0.29","0.01","0.05","0.27","0.29","0.28","0.24","0.32","0.01","0.05","0.27"
"CMT","0.17","0.17","0.17","0.17","0","0",NA,"0.18","0.18","0.15","0.19","0.01","0.04","0.18","0.17","0.17","0.15","0.19","0.01","0.04","0.14"
"CMM","0.39","0.39","0.39","0.39","0","0",NA,"0.43","0.43","0.43","0.43","0","0","0.02","0.45","0.45","0.42","0.5","0.01","0.03","0.31"
"CMB","0.99","0.99","0.99","0.99","0","0","0.05","0.84","0.84","0.84","0.85","0","0","0.01","0.75","0.75","0.75","0.75","0","0","0.01"
"CP","0.32","0.32","0.31","0.34","0","0.01","0.08","0.4","0.4","0.38","0.43","0.01","0.02","0.14","0.47","0.47","0.42","0.51","0.01","0.03","0.27"
"CPT","0.21","0.21","0.21","0.21","0","0",NA,"0.22","0.22","0.21","0.22","0","0.01","0.11","0.22","0.22","0.21","0.22","0","0.01","0.11"
