"Trait","Mean...2","Median...3","Min...4","Max...5","SD...6","CV...7","H2.cullis...8","Mean...9","Median...10","Min...11","Max...12","SD...13","CV...14","H2.cullis...15","Mean...16","Median...17","Min...18","Max...19","SD...20","CV...21","H2.cullis...22"
"TRL","99.96","98.77","78.89","137.38","10.34","0.1","0.23","159.59","157.91","102.87","225.04","23.06","0.14","0.37","236.58","233.83","180.32","309.92","24.01","0.1","0.32"
"PRL","34.63","34.66","31.65","36.55","0.73","0.02","0.13","38.85","38.94","35.88","41.56","0.97","0.02","0.2","43.19","43.16","39.73","47.51","1.08","0.02","0.23"
"LED","2.29","2.28","1.59","3.13","0.26","0.11","0.29","2.22","2.21","1.72","2.77","0.18","0.08","0.25","2.05","2.03","1.6","2.82","0.21","0.1","0.36"
"DIA","0.19","0.19","0.19","0.19","0","0",NA,"0.2","0.2","0.18","0.22","0.01","0.03","0.14","0.25","0.25","0.23","0.27","0.01","0.03","0.15"
"VOL","126.28","126.14","124.63","129.78","0.81","0.01","0.01","158.18","158.18","158.18","158.18","0","0",NA,"263.94","259.6","220.43","345.71","18.92","0.07","0.17"
"SurfaceArea","19.75","19.74","19.07","20.54","0.23","0.01","0.04","23.17","23.16","20.65","25.29","0.71","0.03","0.11","32.21","31.99","26.97","40.36","1.98","0.06","0.24"
"TRLUpper","68.64","67.99","48.15","94.51","8.61","0.13","0.25","106.73","105.79","65.72","160.29","15.73","0.15","0.36","157.59","156.23","118.21","211.96","17.67","0.11","0.34"
"CVA","193.16","191.49","151","255.11","19.76","0.1","0.2","305.27","303.08","205.4","423.15","40.05","0.13","0.3","426.28","423.55","302.92","591.88","52.66","0.12","0.37"
"DEP","31.64","31.65","30.59","32.24","0.22","0.01","0.05","35.15","35.23","32.2","37.26","0.88","0.03","0.24","38.01","38.03","34.99","40.46","0.92","0.02","0.27"
"WID","11.4","11.33","8.96","15.27","1.17","0.1","0.24","15.51","15.43","11.06","20.05","1.78","0.11","0.31","19.23","19.27","13.17","25.28","2.4","0.13","0.44"
"NWA","1.22","1.21","0.98","1.64","0.12","0.1","0.21","1.94","1.92","1.24","2.77","0.28","0.14","0.37","2.91","2.88","2.26","3.74","0.27","0.09","0.29"
"LRB","100.76","100.75","99.35","101.94","0.38","0","0.02","126.77","126.93","111.93","136.43","4.09","0.03","0.16","138.79","138.81","124.78","153.46","4.51","0.03","0.19"
"RHZO","2056.52","2042.77","1714.91","2635.95","155.54","0.08","0.18","3303.6","3282.76","2276.59","4419.95","397.76","0.12","0.32","4820.55","4792.26","3607.64","6238.42","477.02","0.1","0.33"
"SOL2","140.43","140.14","131.53","151.08","2.84","0.02","0.08","148.47","148.68","132.71","163.68","4.87","0.03","0.16","142.4","142.2","125.49","152.68","3.66","0.03","0.15"
"LRA","48.84","48.79","46.21","51.14","0.74","0.02","0.09","49.92","49.99","44.15","55.22","2.04","0.04","0.23","50.74","50.74","47.82","53.67","0.96","0.02","0.11"
"TRL_GR","NA","NA","NA","NA","NA","NA","NA","20.74","20.67","15.12","28.8","2.18","0.11","0.29","25.66","25.49","23.75","29.43","0.98","0.04","0.11"
"SDW","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.05","0.05","0.03","0.09","0.01","0.23","0.63"
"RDW","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.03","0.03","0.02","0.05","0.01","0.21","0.55"
"TDW","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.08","0.08","0.04","0.14","0.02","0.24","0.65"
"RSR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.51","0.51","0.44","0.58","0.02","0.05","0.27"
